# from https://coronavirus.data.gov.uk/details/cases download on 2021-01-02
areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2020-11-09,28076,1092365
nation,England,E92000001,2020-11-08,17953,1064289
nation,England,E92000001,2020-11-07,16612,1046336
nation,England,E92000001,2020-11-06,20808,1029724
nation,England,E92000001,2020-11-05,20871,1008916
nation,England,E92000001,2020-11-04,20688,988045
nation,England,E92000001,2020-11-03,22301,967357
nation,England,E92000001,2020-11-02,27921,945056
nation,England,E92000001,2020-11-01,13360,917135
nation,England,E92000001,2020-10-31,14353,903775
nation,England,E92000001,2020-10-30,19644,889422
nation,England,E92000001,2020-10-29,19971,869778
nation,England,E92000001,2020-10-28,20233,849807
nation,England,E92000001,2020-10-27,20497,829574
nation,England,E92000001,2020-10-26,22737,809077
nation,England,E92000001,2020-10-25,13160,786340
nation,England,E92000001,2020-10-24,13510,773180
nation,England,E92000001,2020-10-23,18117,759670
nation,England,E92000001,2020-10-22,19610,741553
nation,England,E92000001,2020-10-21,21504,721943
nation,England,E92000001,2020-10-20,21334,700439
nation,England,E92000001,2020-10-19,22080,679105
nation,England,E92000001,2020-10-18,11843,657025
nation,England,E92000001,2020-10-17,12346,645182
nation,England,E92000001,2020-10-16,14531,632836
nation,England,E92000001,2020-10-15,15232,618305
nation,England,E92000001,2020-10-14,16433,603073
nation,England,E92000001,2020-10-13,15441,586640
nation,England,E92000001,2020-10-12,16204,571199
nation,England,E92000001,2020-10-11,9656,554995
nation,England,E92000001,2020-10-10,10158,545339
nation,England,E92000001,2020-10-09,13014,535181
nation,England,E92000001,2020-10-08,15266,522167
nation,England,E92000001,2020-10-07,15194,506901
nation,England,E92000001,2020-10-06,14304,491707
nation,England,E92000001,2020-10-05,14046,477403
nation,England,E92000001,2020-10-04,9830,463357
nation,England,E92000001,2020-10-03,9712,453527
nation,England,E92000001,2020-10-02,11578,443815
nation,England,E92000001,2020-10-01,11299,432237
nation,England,E92000001,2020-09-30,10524,420938
nation,England,E92000001,2020-09-29,8726,410414
nation,England,E92000001,2020-09-28,8579,401688
nation,England,E92000001,2020-09-27,6024,393109
nation,England,E92000001,2020-09-26,5648,387085
nation,England,E92000001,2020-09-25,6044,381437
nation,England,E92000001,2020-09-24,6288,375393
nation,England,E92000001,2020-09-23,5889,369105
nation,England,E92000001,2020-09-22,5369,363216
nation,England,E92000001,2020-09-21,4700,357847
nation,England,E92000001,2020-09-20,4627,353147
nation,England,E92000001,2020-09-19,4186,348520
nation,England,E92000001,2020-09-18,4277,344334
nation,England,E92000001,2020-09-17,3938,340057
nation,England,E92000001,2020-09-16,3744,336119
nation,England,E92000001,2020-09-15,3042,332375
nation,England,E92000001,2020-09-14,2899,329333
nation,England,E92000001,2020-09-13,1710,326434
nation,England,E92000001,2020-09-12,2210,324724
nation,England,E92000001,2020-09-11,2862,322514
nation,England,E92000001,2020-09-10,3099,319652
nation,England,E92000001,2020-09-09,2852,316553
nation,England,E92000001,2020-09-08,3002,313701
nation,England,E92000001,2020-09-07,3467,310699
nation,England,E92000001,2020-09-06,2058,307232
nation,England,E92000001,2020-09-05,2190,305174
nation,England,E92000001,2020-09-04,2589,302984
nation,England,E92000001,2020-09-03,2666,300395
nation,England,E92000001,2020-09-02,2617,297729
nation,England,E92000001,2020-09-01,1929,295112
nation,England,E92000001,2020-08-31,1261,293183
nation,England,E92000001,2020-08-30,977,291922
nation,England,E92000001,2020-08-29,1042,290945
nation,England,E92000001,2020-08-28,1384,289903
nation,England,E92000001,2020-08-27,1327,288519
nation,England,E92000001,2020-08-26,1139,287192
nation,England,E92000001,2020-08-25,1060,286053
nation,England,E92000001,2020-08-24,1132,284993
nation,England,E92000001,2020-08-23,696,283861
nation,England,E92000001,2020-08-22,715,283165
nation,England,E92000001,2020-08-21,1001,282450
nation,England,E92000001,2020-08-20,1221,281449
nation,England,E92000001,2020-08-19,1074,280228
nation,England,E92000001,2020-08-18,924,279154
nation,England,E92000001,2020-08-17,1137,278230
nation,England,E92000001,2020-08-16,527,277093
nation,England,E92000001,2020-08-15,646,276566
nation,England,E92000001,2020-08-14,1039,275920
nation,England,E92000001,2020-08-13,1019,274881
nation,England,E92000001,2020-08-12,1095,273862
nation,England,E92000001,2020-08-11,1210,272767
nation,England,E92000001,2020-08-10,1351,271557
nation,England,E92000001,2020-08-09,556,270206
nation,England,E92000001,2020-08-08,636,269650
nation,England,E92000001,2020-08-07,866,269014
nation,England,E92000001,2020-08-06,981,268148
nation,England,E92000001,2020-08-05,944,267167
nation,England,E92000001,2020-08-04,922,266223
nation,England,E92000001,2020-08-03,941,265301
nation,England,E92000001,2020-08-02,514,264360
nation,England,E92000001,2020-08-01,493,263846
nation,England,E92000001,2020-07-31,625,263353
nation,England,E92000001,2020-07-30,857,262728
nation,England,E92000001,2020-07-29,972,261871
nation,England,E92000001,2020-07-28,780,260899
nation,England,E92000001,2020-07-27,807,260119
nation,England,E92000001,2020-07-26,514,259312
nation,England,E92000001,2020-07-25,492,258798
nation,England,E92000001,2020-07-24,720,258306
nation,England,E92000001,2020-07-23,732,257586
nation,England,E92000001,2020-07-22,750,256854
nation,England,E92000001,2020-07-21,692,256104
nation,England,E92000001,2020-07-20,751,255412
nation,England,E92000001,2020-07-19,413,254661
nation,England,E92000001,2020-07-18,466,254248
nation,England,E92000001,2020-07-17,549,253782
nation,England,E92000001,2020-07-16,640,253233
nation,England,E92000001,2020-07-15,724,252593
nation,England,E92000001,2020-07-14,651,251869
nation,England,E92000001,2020-07-13,691,251218
nation,England,E92000001,2020-07-12,354,250527
nation,England,E92000001,2020-07-11,424,250173
nation,England,E92000001,2020-07-10,523,249749
nation,England,E92000001,2020-07-09,681,249226
nation,England,E92000001,2020-07-08,672,248545
nation,England,E92000001,2020-07-07,559,247873
nation,England,E92000001,2020-07-06,659,247314
nation,England,E92000001,2020-07-05,539,246655
nation,England,E92000001,2020-07-04,387,246116
nation,England,E92000001,2020-07-03,544,245729
nation,England,E92000001,2020-07-02,564,245185
nation,England,E92000001,2020-07-01,614,244621
nation,England,E92000001,2020-06-30,572,244007
nation,England,E92000001,2020-06-29,665,243435
nation,England,E92000001,2020-06-28,409,242770
nation,England,E92000001,2020-06-27,505,242361
nation,England,E92000001,2020-06-26,645,241856
nation,England,E92000001,2020-06-25,637,241211
nation,England,E92000001,2020-06-24,728,240574
nation,England,E92000001,2020-06-23,732,239846
nation,England,E92000001,2020-06-22,815,239114
nation,England,E92000001,2020-06-21,549,238299
nation,England,E92000001,2020-06-20,632,237750
nation,England,E92000001,2020-06-19,819,237118
nation,England,E92000001,2020-06-18,943,236299
nation,England,E92000001,2020-06-17,910,235356
nation,England,E92000001,2020-06-16,991,234446
nation,England,E92000001,2020-06-15,936,233455
nation,England,E92000001,2020-06-14,744,232519
nation,England,E92000001,2020-06-13,791,231775
nation,England,E92000001,2020-06-12,943,230984
nation,England,E92000001,2020-06-11,914,230041
nation,England,E92000001,2020-06-10,1080,229127
nation,England,E92000001,2020-06-09,1057,228047
nation,England,E92000001,2020-06-08,992,226990
nation,England,E92000001,2020-06-07,666,225998
nation,England,E92000001,2020-06-06,727,225332
nation,England,E92000001,2020-06-05,1023,224605
nation,England,E92000001,2020-06-04,1149,223582
nation,England,E92000001,2020-06-03,1243,222433
nation,England,E92000001,2020-06-02,1351,221190
nation,England,E92000001,2020-06-01,1315,219839
nation,England,E92000001,2020-05-31,985,218524
nation,England,E92000001,2020-05-30,996,217539
nation,England,E92000001,2020-05-29,1370,216543
nation,England,E92000001,2020-05-28,1573,215173
nation,England,E92000001,2020-05-27,1612,213600
nation,England,E92000001,2020-05-26,1454,211988
nation,England,E92000001,2020-05-25,1376,210534
nation,England,E92000001,2020-05-24,1199,209158
nation,England,E92000001,2020-05-23,1301,207959
nation,England,E92000001,2020-05-22,1797,206658
nation,England,E92000001,2020-05-21,2269,204861
nation,England,E92000001,2020-05-20,2344,202592
nation,England,E92000001,2020-05-19,2585,200248
nation,England,E92000001,2020-05-18,2208,197663
nation,England,E92000001,2020-05-17,1586,195455
nation,England,E92000001,2020-05-16,1771,193869
nation,England,E92000001,2020-05-15,2134,192098
nation,England,E92000001,2020-05-14,2206,189964
nation,England,E92000001,2020-05-13,2882,187758
nation,England,E92000001,2020-05-12,2925,184876
nation,England,E92000001,2020-05-11,3058,181951
nation,England,E92000001,2020-05-10,2005,178893
nation,England,E92000001,2020-05-09,1793,176888
nation,England,E92000001,2020-05-08,2617,175095
nation,England,E92000001,2020-05-07,3201,172478
nation,England,E92000001,2020-05-06,3267,169277
nation,England,E92000001,2020-05-05,3138,166010
nation,England,E92000001,2020-05-04,2842,162872
nation,England,E92000001,2020-05-03,2629,160030
nation,England,E92000001,2020-05-02,2743,157401
nation,England,E92000001,2020-05-01,4092,154658
nation,England,E92000001,2020-04-30,4307,150566
nation,England,E92000001,2020-04-29,4736,146259
nation,England,E92000001,2020-04-28,4113,141523
nation,England,E92000001,2020-04-27,4025,137410
nation,England,E92000001,2020-04-26,3134,133385
nation,England,E92000001,2020-04-25,3371,130251
nation,England,E92000001,2020-04-24,4355,126880
nation,England,E92000001,2020-04-23,4550,122525
nation,England,E92000001,2020-04-22,4796,117975
nation,England,E92000001,2020-04-21,3969,113179
nation,England,E92000001,2020-04-20,3678,109210
nation,England,E92000001,2020-04-19,3466,105532
nation,England,E92000001,2020-04-18,4111,102066
nation,England,E92000001,2020-04-17,4068,97955
nation,England,E92000001,2020-04-16,4353,93887
nation,England,E92000001,2020-04-15,4225,89534
nation,England,E92000001,2020-04-14,3545,85309
nation,England,E92000001,2020-04-13,3433,81764
nation,England,E92000001,2020-04-12,2944,78331
nation,England,E92000001,2020-04-11,3069,75387
nation,England,E92000001,2020-04-10,3579,72318
nation,England,E92000001,2020-04-09,4060,68739
nation,England,E92000001,2020-04-08,4292,64679
nation,England,E92000001,2020-04-07,4572,60387
nation,England,E92000001,2020-04-06,4376,55815
nation,England,E92000001,2020-04-05,3080,51439
nation,England,E92000001,2020-04-04,3376,48359
nation,England,E92000001,2020-04-03,4105,44983
nation,England,E92000001,2020-04-02,4070,40878
nation,England,E92000001,2020-04-01,4092,36808
nation,England,E92000001,2020-03-31,3782,32716
nation,England,E92000001,2020-03-30,3521,28934
nation,England,E92000001,2020-03-29,2439,25413
nation,England,E92000001,2020-03-28,2371,22974
nation,England,E92000001,2020-03-27,2655,20603
nation,England,E92000001,2020-03-26,2610,17948
nation,England,E92000001,2020-03-25,2257,15338
nation,England,E92000001,2020-03-24,2024,13081
nation,England,E92000001,2020-03-23,2012,11057
nation,England,E92000001,2020-03-22,1210,9045
nation,England,E92000001,2020-03-21,1032,7835
nation,England,E92000001,2020-03-20,1085,6803
nation,England,E92000001,2020-03-19,925,5718
nation,England,E92000001,2020-03-18,908,4793
nation,England,E92000001,2020-03-17,683,3885
nation,England,E92000001,2020-03-16,547,3202
nation,England,E92000001,2020-03-15,398,2655
nation,England,E92000001,2020-03-14,315,2257
nation,England,E92000001,2020-03-13,393,1942
nation,England,E92000001,2020-03-12,414,1549
nation,England,E92000001,2020-03-11,353,1135
nation,England,E92000001,2020-03-10,227,782
nation,England,E92000001,2020-03-09,124,555
nation,England,E92000001,2020-03-08,50,431
nation,England,E92000001,2020-03-07,55,381
nation,England,E92000001,2020-03-06,73,326
nation,England,E92000001,2020-03-05,47,253
nation,England,E92000001,2020-03-04,49,206
nation,England,E92000001,2020-03-03,52,157
nation,England,E92000001,2020-03-02,39,105
nation,England,E92000001,2020-03-01,20,66
nation,England,E92000001,2020-02-29,5,46
nation,England,E92000001,2020-02-28,11,41
nation,England,E92000001,2020-02-27,7,30
nation,England,E92000001,2020-02-26,4,23
nation,England,E92000001,2020-02-25,5,19
nation,England,E92000001,2020-02-24,2,14
nation,England,E92000001,2020-02-23,1,12
nation,England,E92000001,2020-02-22,1,11
nation,England,E92000001,2020-02-21,1,10
nation,England,E92000001,2020-02-20,0,9
nation,England,E92000001,2020-02-19,0,9
nation,England,E92000001,2020-02-18,0,9
nation,England,E92000001,2020-02-17,0,9
nation,England,E92000001,2020-02-16,0,9
nation,England,E92000001,2020-02-15,0,9
nation,England,E92000001,2020-02-14,0,9
nation,England,E92000001,2020-02-13,0,9
nation,England,E92000001,2020-02-12,0,9
nation,England,E92000001,2020-02-11,1,9
nation,England,E92000001,2020-02-10,0,8
nation,England,E92000001,2020-02-09,1,8
nation,England,E92000001,2020-02-08,4,7
nation,England,E92000001,2020-02-07,0,3
nation,England,E92000001,2020-02-06,0,3
nation,England,E92000001,2020-02-05,1,3
nation,England,E92000001,2020-02-04,0,2
nation,England,E92000001,2020-02-03,0,2
nation,England,E92000001,2020-02-02,0,2
nation,England,E92000001,2020-02-01,0,2
nation,England,E92000001,2020-01-31,0,2
nation,England,E92000001,2020-01-30,2,2
nation,Northern Ireland,N92000002,2020-12-30,1579,72834
nation,Northern Ireland,N92000002,2020-12-29,2334,71255
nation,Northern Ireland,N92000002,2020-12-28,1438,68921
nation,Northern Ireland,N92000002,2020-12-27,1123,67483
nation,Northern Ireland,N92000002,2020-12-26,746,66360
nation,Northern Ireland,N92000002,2020-12-25,358,65614
nation,Northern Ireland,N92000002,2020-12-24,650,65256
nation,Northern Ireland,N92000002,2020-12-23,830,64606
nation,Northern Ireland,N92000002,2020-12-22,745,63776
nation,Northern Ireland,N92000002,2020-12-21,737,63031
nation,Northern Ireland,N92000002,2020-12-20,500,62294
nation,Northern Ireland,N92000002,2020-12-19,486,61794
nation,Northern Ireland,N92000002,2020-12-18,553,61308
nation,Northern Ireland,N92000002,2020-12-17,611,60755
nation,Northern Ireland,N92000002,2020-12-16,625,60144
nation,Northern Ireland,N92000002,2020-12-15,545,59519
nation,Northern Ireland,N92000002,2020-12-14,572,58974
nation,Northern Ireland,N92000002,2020-12-13,405,58402
nation,Northern Ireland,N92000002,2020-12-12,364,57997
nation,Northern Ireland,N92000002,2020-12-11,522,57633
nation,Northern Ireland,N92000002,2020-12-10,511,57111
nation,Northern Ireland,N92000002,2020-12-09,458,56600
nation,Northern Ireland,N92000002,2020-12-08,471,56142
nation,Northern Ireland,N92000002,2020-12-07,475,55671
nation,Northern Ireland,N92000002,2020-12-06,370,55196
nation,Northern Ireland,N92000002,2020-12-05,401,54826
nation,Northern Ireland,N92000002,2020-12-04,436,54425
nation,Northern Ireland,N92000002,2020-12-03,500,53989
nation,Northern Ireland,N92000002,2020-12-02,414,53489
nation,Northern Ireland,N92000002,2020-12-01,402,53075
nation,Northern Ireland,N92000002,2020-11-30,512,52673
nation,Northern Ireland,N92000002,2020-11-29,259,52161
nation,Northern Ireland,N92000002,2020-11-28,345,51902
nation,Northern Ireland,N92000002,2020-11-27,331,51557
nation,Northern Ireland,N92000002,2020-11-26,339,51226
nation,Northern Ireland,N92000002,2020-11-25,420,50887
nation,Northern Ireland,N92000002,2020-11-24,342,50467
nation,Northern Ireland,N92000002,2020-11-23,377,50125
nation,Northern Ireland,N92000002,2020-11-22,277,49748
nation,Northern Ireland,N92000002,2020-11-21,296,49471
nation,Northern Ireland,N92000002,2020-11-20,374,49175
nation,Northern Ireland,N92000002,2020-11-19,350,48801
nation,Northern Ireland,N92000002,2020-11-18,439,48451
nation,Northern Ireland,N92000002,2020-11-17,574,48012
nation,Northern Ireland,N92000002,2020-11-16,584,47438
nation,Northern Ireland,N92000002,2020-11-15,374,46854
nation,Northern Ireland,N92000002,2020-11-14,423,46480
nation,Northern Ireland,N92000002,2020-11-13,476,46057
nation,Northern Ireland,N92000002,2020-11-12,551,45581
nation,Northern Ireland,N92000002,2020-11-11,611,45030
nation,Northern Ireland,N92000002,2020-11-10,703,44419
nation,Northern Ireland,N92000002,2020-11-09,653,43716
nation,Northern Ireland,N92000002,2020-11-08,424,43063
nation,Northern Ireland,N92000002,2020-11-07,459,42639
nation,Northern Ireland,N92000002,2020-11-06,488,42180
nation,Northern Ireland,N92000002,2020-11-05,566,41692
nation,Northern Ireland,N92000002,2020-11-04,595,41126
nation,Northern Ireland,N92000002,2020-11-03,657,40531
nation,Northern Ireland,N92000002,2020-11-02,702,39874
nation,Northern Ireland,N92000002,2020-11-01,466,39172
nation,Northern Ireland,N92000002,2020-10-31,519,38706
nation,Northern Ireland,N92000002,2020-10-30,691,38187
nation,Northern Ireland,N92000002,2020-10-29,695,37496
nation,Northern Ireland,N92000002,2020-10-28,757,36801
nation,Northern Ireland,N92000002,2020-10-27,824,36044
nation,Northern Ireland,N92000002,2020-10-26,894,35220
nation,Northern Ireland,N92000002,2020-10-25,683,34326
nation,Northern Ireland,N92000002,2020-10-24,746,33643
nation,Northern Ireland,N92000002,2020-10-23,886,32897
nation,Northern Ireland,N92000002,2020-10-22,1081,32011
nation,Northern Ireland,N92000002,2020-10-21,1115,30930
nation,Northern Ireland,N92000002,2020-10-20,1068,29815
nation,Northern Ireland,N92000002,2020-10-19,1042,28747
nation,Northern Ireland,N92000002,2020-10-18,794,27705
nation,Northern Ireland,N92000002,2020-10-17,844,26911
nation,Northern Ireland,N92000002,2020-10-16,974,26067
nation,Northern Ireland,N92000002,2020-10-15,1111,25093
nation,Northern Ireland,N92000002,2020-10-14,1065,23982
nation,Northern Ireland,N92000002,2020-10-13,1086,22917
nation,Northern Ireland,N92000002,2020-10-12,1110,21831
nation,Northern Ireland,N92000002,2020-10-11,833,20721
nation,Northern Ireland,N92000002,2020-10-10,802,19888
nation,Northern Ireland,N92000002,2020-10-09,846,19086
nation,Northern Ireland,N92000002,2020-10-08,986,18240
nation,Northern Ireland,N92000002,2020-10-07,1037,17254
nation,Northern Ireland,N92000002,2020-10-06,806,16217
nation,Northern Ireland,N92000002,2020-10-05,712,15411
nation,Northern Ireland,N92000002,2020-10-04,615,14699
nation,Northern Ireland,N92000002,2020-10-03,625,14084
nation,Northern Ireland,N92000002,2020-10-02,698,13459
nation,Northern Ireland,N92000002,2020-10-01,483,12761
nation,Northern Ireland,N92000002,2020-09-30,643,12278
nation,Northern Ireland,N92000002,2020-09-29,392,11635
nation,Northern Ireland,N92000002,2020-09-28,298,11243
nation,Northern Ireland,N92000002,2020-09-27,273,10945
nation,Northern Ireland,N92000002,2020-09-26,270,10672
nation,Northern Ireland,N92000002,2020-09-25,244,10402
nation,Northern Ireland,N92000002,2020-09-24,285,10158
nation,Northern Ireland,N92000002,2020-09-23,219,9873
nation,Northern Ireland,N92000002,2020-09-22,169,9654
nation,Northern Ireland,N92000002,2020-09-21,135,9485
nation,Northern Ireland,N92000002,2020-09-20,124,9350
nation,Northern Ireland,N92000002,2020-09-19,161,9226
nation,Northern Ireland,N92000002,2020-09-18,168,9065
nation,Northern Ireland,N92000002,2020-09-17,169,8897
nation,Northern Ireland,N92000002,2020-09-16,133,8728
nation,Northern Ireland,N92000002,2020-09-15,107,8595
nation,Northern Ireland,N92000002,2020-09-14,119,8488
nation,Northern Ireland,N92000002,2020-09-13,91,8369
nation,Northern Ireland,N92000002,2020-09-12,107,8278
nation,Northern Ireland,N92000002,2020-09-11,73,8171
nation,Northern Ireland,N92000002,2020-09-10,79,8098
nation,Northern Ireland,N92000002,2020-09-09,98,8019
nation,Northern Ireland,N92000002,2020-09-08,56,7921
nation,Northern Ireland,N92000002,2020-09-07,72,7865
nation,Northern Ireland,N92000002,2020-09-06,106,7793
nation,Northern Ireland,N92000002,2020-09-05,90,7687
nation,Northern Ireland,N92000002,2020-09-04,130,7597
nation,Northern Ireland,N92000002,2020-09-03,106,7467
nation,Northern Ireland,N92000002,2020-09-02,91,7361
nation,Northern Ireland,N92000002,2020-09-01,65,7270
nation,Northern Ireland,N92000002,2020-08-31,54,7205
nation,Northern Ireland,N92000002,2020-08-30,35,7151
nation,Northern Ireland,N92000002,2020-08-29,43,7116
nation,Northern Ireland,N92000002,2020-08-28,86,7073
nation,Northern Ireland,N92000002,2020-08-27,79,6987
nation,Northern Ireland,N92000002,2020-08-26,71,6908
nation,Northern Ireland,N92000002,2020-08-25,65,6837
nation,Northern Ireland,N92000002,2020-08-24,45,6772
nation,Northern Ireland,N92000002,2020-08-23,52,6727
nation,Northern Ireland,N92000002,2020-08-22,42,6675
nation,Northern Ireland,N92000002,2020-08-21,80,6633
nation,Northern Ireland,N92000002,2020-08-20,71,6553
nation,Northern Ireland,N92000002,2020-08-19,41,6482
nation,Northern Ireland,N92000002,2020-08-18,43,6441
nation,Northern Ireland,N92000002,2020-08-17,53,6398
nation,Northern Ireland,N92000002,2020-08-16,20,6345
nation,Northern Ireland,N92000002,2020-08-15,22,6325
nation,Northern Ireland,N92000002,2020-08-14,57,6303
nation,Northern Ireland,N92000002,2020-08-13,51,6246
nation,Northern Ireland,N92000002,2020-08-12,40,6195
nation,Northern Ireland,N92000002,2020-08-11,38,6155
nation,Northern Ireland,N92000002,2020-08-10,44,6117
nation,Northern Ireland,N92000002,2020-08-09,25,6073
nation,Northern Ireland,N92000002,2020-08-08,28,6048
nation,Northern Ireland,N92000002,2020-08-07,16,6020
nation,Northern Ireland,N92000002,2020-08-06,18,6004
nation,Northern Ireland,N92000002,2020-08-05,29,5986
nation,Northern Ireland,N92000002,2020-08-04,18,5957
nation,Northern Ireland,N92000002,2020-08-03,18,5939
nation,Northern Ireland,N92000002,2020-08-02,9,5921
nation,Northern Ireland,N92000002,2020-08-01,10,5912
nation,Northern Ireland,N92000002,2020-07-31,13,5902
nation,Northern Ireland,N92000002,2020-07-30,10,5889
nation,Northern Ireland,N92000002,2020-07-29,11,5879
nation,Northern Ireland,N92000002,2020-07-28,13,5868
nation,Northern Ireland,N92000002,2020-07-27,12,5855
nation,Northern Ireland,N92000002,2020-07-26,1,5843
nation,Northern Ireland,N92000002,2020-07-25,4,5842
nation,Northern Ireland,N92000002,2020-07-24,14,5838
nation,Northern Ireland,N92000002,2020-07-23,12,5824
nation,Northern Ireland,N92000002,2020-07-22,8,5812
nation,Northern Ireland,N92000002,2020-07-21,12,5804
nation,Northern Ireland,N92000002,2020-07-20,3,5792
nation,Northern Ireland,N92000002,2020-07-19,3,5789
nation,Northern Ireland,N92000002,2020-07-18,7,5786
nation,Northern Ireland,N92000002,2020-07-17,8,5779
nation,Northern Ireland,N92000002,2020-07-16,19,5771
nation,Northern Ireland,N92000002,2020-07-15,15,5752
nation,Northern Ireland,N92000002,2020-07-14,7,5737
nation,Northern Ireland,N92000002,2020-07-13,3,5730
nation,Northern Ireland,N92000002,2020-07-12,4,5727
nation,Northern Ireland,N92000002,2020-07-11,6,5723
nation,Northern Ireland,N92000002,2020-07-10,4,5717
nation,Northern Ireland,N92000002,2020-07-09,5,5713
nation,Northern Ireland,N92000002,2020-07-08,6,5708
nation,Northern Ireland,N92000002,2020-07-07,5,5702
nation,Northern Ireland,N92000002,2020-07-06,8,5697
nation,Northern Ireland,N92000002,2020-07-05,2,5689
nation,Northern Ireland,N92000002,2020-07-04,1,5687
nation,Northern Ireland,N92000002,2020-07-03,8,5686
nation,Northern Ireland,N92000002,2020-07-02,3,5678
nation,Northern Ireland,N92000002,2020-07-01,4,5675
nation,Northern Ireland,N92000002,2020-06-30,2,5671
nation,Northern Ireland,N92000002,2020-06-29,4,5669
nation,Northern Ireland,N92000002,2020-06-28,5,5665
nation,Northern Ireland,N92000002,2020-06-27,4,5660
nation,Northern Ireland,N92000002,2020-06-26,3,5656
nation,Northern Ireland,N92000002,2020-06-25,5,5653
nation,Northern Ireland,N92000002,2020-06-24,4,5648
nation,Northern Ireland,N92000002,2020-06-23,8,5644
nation,Northern Ireland,N92000002,2020-06-22,4,5636
nation,Northern Ireland,N92000002,2020-06-21,3,5632
nation,Northern Ireland,N92000002,2020-06-20,5,5629
nation,Northern Ireland,N92000002,2020-06-19,12,5624
nation,Northern Ireland,N92000002,2020-06-18,7,5612
nation,Northern Ireland,N92000002,2020-06-17,5,5605
nation,Northern Ireland,N92000002,2020-06-16,11,5600
nation,Northern Ireland,N92000002,2020-06-15,19,5589
nation,Northern Ireland,N92000002,2020-06-14,8,5570
nation,Northern Ireland,N92000002,2020-06-13,10,5562
nation,Northern Ireland,N92000002,2020-06-12,10,5552
nation,Northern Ireland,N92000002,2020-06-11,10,5542
nation,Northern Ireland,N92000002,2020-06-10,16,5532
nation,Northern Ireland,N92000002,2020-06-09,11,5516
nation,Northern Ireland,N92000002,2020-06-08,14,5505
nation,Northern Ireland,N92000002,2020-06-07,5,5491
nation,Northern Ireland,N92000002,2020-06-06,8,5486
nation,Northern Ireland,N92000002,2020-06-05,24,5478
nation,Northern Ireland,N92000002,2020-06-04,11,5454
nation,Northern Ireland,N92000002,2020-06-03,11,5443
nation,Northern Ireland,N92000002,2020-06-02,21,5432
nation,Northern Ireland,N92000002,2020-06-01,24,5411
nation,Northern Ireland,N92000002,2020-05-31,26,5387
nation,Northern Ireland,N92000002,2020-05-30,13,5361
nation,Northern Ireland,N92000002,2020-05-29,20,5348
nation,Northern Ireland,N92000002,2020-05-28,28,5328
nation,Northern Ireland,N92000002,2020-05-27,33,5300
nation,Northern Ireland,N92000002,2020-05-26,28,5267
nation,Northern Ireland,N92000002,2020-05-25,40,5239
nation,Northern Ireland,N92000002,2020-05-24,30,5199
