	first_seq	num_seqs	last_seq
China	2023-06-17	7295	2024-07-16
Philippines	2023-06-20	3	2023-08-24
USA	2023-06-20	6525	2024-04-22
South Korea	2023-06-24	8540	2024-04-15
Israel	2023-06-25	121	2024-01-29
Singapore	2023-06-30	3013	2024-02-27
Italy	2023-06-30	727	2024-04-09
South Africa	2023-07-05	18	2023-12-06
Luxembourg	2023-07-11	113	2024-01-11
Thailand	2023-07-11	309	2024-04-05
Greece	2023-07-12	487	2024-01-22
Japan	2023-07-15	4208	2024-05-10
Switzerland	2023-07-19	301	2024-02-28
Germany	2023-07-19	501	2024-08-07
Brunei	2023-07-26	86	2024-01-13
Taiwan	2023-07-29	183	2024-02-02
Bahrain	2023-07-30	6	2023-10-10
Canada	2023-07-30	3842	2024-04-24
Denmark	2023-07-31	571	2024-02-05
Spain	2023-08-01	765	2024-02-27
Sweden	2023-08-01	1349	2024-04-24
Finland	2023-08-03	489	2024-03-21
Hong Kong	2023-08-03	56	2024-04-20
United Kingdom	2023-08-05	1313	2024-03-01
Australia	2023-08-06	2179	2024-05-03
Argentina	2023-08-07	61	2024-01-23
Croatia	2023-08-07	124	2024-01-29
New Zealand	2023-08-08	1434	2024-03-12
Netherlands	2023-08-09	440	2024-02-03
Malaysia	2023-08-11	363	2024-01-12
Austria	2023-08-14	331	2024-01-21
France	2023-08-14	1151	2024-01-29
Slovenia	2023-08-18	159	2024-02-20
Iceland	2023-08-21	28	2023-12-05
Czech Republic	2023-08-21	52	2024-01-03
Ireland	2023-08-21	145	2024-01-28
Norway	2023-08-24	87	2024-01-07
Pakistan	2023-08-26	2	2023-11-10
Belgium	2023-08-26	192	2024-03-11
Russia	2023-08-28	168	2024-02-21
Portugal	2023-08-30	13	2024-04-19
Uruguay	2023-09-01	2	2023-10-27
Laos	2023-09-01	6	2024-01-09
Romania	2023-09-02	9	2023-10-23
Ukraine	2023-09-04	27	2024-01-29
Palestine	2023-09-05	1	2023-09-05
Turkey	2023-09-05	23	2023-12-29
Ecuador	2023-09-05	26	2024-01-16
Oman	2023-09-06	1	2023-09-06
Lithuania	2023-09-06	185	2023-12-31
Poland	2023-09-06	257	2024-02-28
Slovakia	2023-09-08	122	2024-01-18
Brazil	2023-09-15	47	2024-02-28
Chile	2023-09-15	93	2024-03-04
Bulgaria	2023-09-19	12	2024-01-16
Indonesia	2023-09-20	26	2023-12-30
Myanmar	2023-09-21	1	2023-09-21
Costa Rica	2023-09-27	11	2024-01-01
Peru	2023-09-29	47	2024-01-19
Montenegro	2023-10-03	1	2023-10-03
Hungary	2023-10-03	22	2023-12-28
Curacao	2023-10-08	2	2023-12-19
Uganda	2023-10-11	1	2023-10-11
Kosovo	2023-10-12	3	2023-12-14
North Macedonia	2023-10-12	6	2024-01-05
Georgia	2023-10-13	2	2023-10-16
Trinidad and Tobago	2023-10-16	1	2023-10-16
Mexico	2023-10-20	17	2024-01-26
Cambodia	2023-10-24	18	2024-01-05
Qatar	2023-10-26	2	2023-10-31
Vietnam	2023-10-29	4	2023-12-24
Colombia	2023-11-01	19	2024-01-10
India	2023-11-12	1	2023-11-12
El Salvador	2023-11-23	1	2023-11-23
Guatemala	2023-12-01	3	2023-12-19
Venezuela	2023-12-03	1	2023-12-03
Nepal	2023-12-05	1	2023-12-05
Paraguay	2023-12-18	10	2024-01-11
Bangladesh	2024-01-02	1	2024-01-02
Guadeloupe	2024-01-02	1	2024-01-02
