	first_seq	num_seqs	last_seq
Angola	2020-12-11	1	2020-12-11
Canada	2020-12-14	947	2021-04-21
United Kingdom	2020-12-15	431	2021-05-15
Nigeria	2020-12-20	169	2021-04-03
USA	2020-12-30	911	2021-05-18
Ghana	2021-01-06	13	2021-03-16
France	2021-01-06	417	2021-05-11
Australia	2021-01-06	9	2021-05-07
Jordan	2021-01-07	2	2021-01-07
Italy	2021-01-07	238	2021-05-13
Philippines	2021-01-09	5	2021-03-24
Israel	2021-01-10	14	2021-05-09
Denmark	2021-01-11	609	2021-04-26
Finland	2021-01-15	7	2021-02-13
Japan	2021-01-15	16	2021-04-12
Belgium	2021-01-19	59	2021-05-04
Indonesia	2021-01-20	1	2021-01-20
Switzerland	2021-01-22	50	2021-05-13
Rwanda	2021-01-22	5	2021-01-28
Norway	2021-01-22	78	2021-04-27
Germany	2021-01-25	523	2021-05-07
Togo	2021-01-25	25	2021-02-25
Spain	2021-01-25	117	2021-05-12
Slovenia	2021-01-26	45	2021-04-08
Netherlands	2021-01-27	48	2021-04-20
Cameroon	2021-01-27	5	2021-03-01
Austria	2021-01-28	13	2021-04-30
Malaysia	2021-01-31	2	2021-01-31
Singapore	2021-01-31	9	2021-04-27
South Korea	2021-02-02	2	2021-02-26
Ireland	2021-02-03	53	2021-05-08
Côte d'Ivoire	2021-02-08	10	2021-02-25
Brazil	2021-02-15	1	2021-02-15
Luxembourg	2021-02-20	15	2021-04-23
India	2021-02-20	61	2021-05-04
Turkey	2021-02-20	39	2021-03-31
Poland	2021-02-24	10	2021-03-14
Sweden	2021-02-28	8	2021-04-14
Thailand	2021-03-01	1	2021-03-01
Morocco	2021-03-02	1	2021-03-02
Guadeloupe	2021-03-03	2	2021-03-11
Costa Rica	2021-03-03	3	2021-03-28
Portugal	2021-03-05	9	2021-05-11
Tunisia	2021-03-05	1	2021-03-05
Kenya	2021-03-08	1	2021-03-08
Greece	2021-03-08	2	2021-04-09
South Africa	2021-03-10	2	2021-04-16
Bangladesh	2021-03-11	12	2021-04-12
Belarus	2021-03-22	1	2021-03-22
Gabon	2021-03-30	1	2021-03-30
Niger	2021-04-01	6	2021-04-01
Malta	2021-04-01	6	2021-05-03
Latvia	2021-04-26	1	2021-04-26
Sri Lanka	2021-04-28	1	2021-04-28
Argentina	2021-05-04	1	2021-05-04
