	first_seq	num_seqs	last_seq
India	2020-12-01	1524	2021-04-29
Indonesia	2021-01-14	1	2021-01-14
France	2021-02-21	7	2021-05-04
United Kingdom	2021-02-22	371	2021-05-18
Ireland	2021-02-26	39	2021-05-07
Singapore	2021-02-26	56	2021-04-27
Germany	2021-03-01	56	2021-05-04
USA	2021-03-01	215	2021-05-10
Denmark	2021-03-08	27	2021-05-10
New Zealand	2021-03-09	3	2021-04-08
Guadeloupe	2021-03-10	2	2021-03-10
Australia	2021-03-16	20	2021-04-23
Switzerland	2021-03-16	10	2021-05-04
Sint Maarten	2021-03-19	2	2021-04-03
Mexico	2021-03-20	3	2021-04-05
Canada	2021-03-24	1	2021-03-24
Belgium	2021-03-25	8	2021-05-05
South Korea	2021-03-26	5	2021-04-06
Sweden	2021-03-26	5	2021-04-17
Uganda	2021-03-26	1	2021-03-26
Japan	2021-03-29	14	2021-05-01
Portugal	2021-04-05	9	2021-05-04
Bahrain	2021-04-05	8	2021-04-10
Netherlands	2021-04-06	10	2021-04-30
Greece	2021-04-06	1	2021-04-06
Czech Republic	2021-04-09	3	2021-04-22
Malaysia	2021-04-10	1	2021-04-10
Hong Kong	2021-04-12	7	2021-04-18
Italy	2021-04-14	5	2021-05-05
Luxembourg	2021-04-15	5	2021-04-24
Jordan	2021-04-21	4	2021-04-25
Spain	2021-04-22	4	2021-05-12
Curacao	2021-04-23	1	2021-04-23
Thailand	2021-04-26	1	2021-04-26
