	first_seq	num_seqs	last_seq
USA	2020-04-07	12809	2021-05-28
Brazil	2020-10-01	6450	2021-05-27
United Kingdom	2020-10-29	143	2021-05-25
Peru	2020-12-17	25	2021-02-22
Japan	2021-01-02	92	2021-05-07
Colombia	2021-01-04	119	2021-04-28
Italy	2021-01-07	1023	2021-05-23
South Korea	2021-01-10	4	2021-04-03
Denmark	2021-01-12	23	2021-05-10
Chile	2021-01-17	238	2021-04-26
France	2021-01-22	419	2021-05-26
Argentina	2021-01-24	253	2021-05-12
Netherlands	2021-01-25	407	2021-05-15
Switzerland	2021-01-27	105	2021-05-22
Sweden	2021-01-27	63	2021-05-10
Turkey	2021-01-28	21	2021-03-29
Mexico	2021-01-28	160	2021-05-17
Taiwan	2021-01-28	4	2021-01-28
Spain	2021-01-29	459	2021-05-22
Belgium	2021-01-31	1021	2021-05-27
Luxembourg	2021-02-02	28	2021-04-23
Ireland	2021-02-02	27	2021-04-14
Germany	2021-02-04	324	2021-05-21
Canada	2021-02-08	416	2021-04-15
Portugal	2021-02-10	126	2021-05-22
Paraguay	2021-02-13	11	2021-04-07
Aruba	2021-02-15	34	2021-05-10
Bangladesh	2021-02-18	1	2021-02-18
Philippines	2021-02-21	2	2021-03-11
Suriname	2021-02-22	8	2021-03-23
Uruguay	2021-02-23	57	2021-03-26
Norway	2021-02-24	5	2021-04-14
Romania	2021-02-25	8	2021-05-18
Slovenia	2021-02-27	3	2021-05-05
Australia	2021-03-01	7	2021-04-25
Costa Rica	2021-03-03	23	2021-04-27
New Zealand	2021-03-06	4	2021-04-08
Jordan	2021-03-09	5	2021-04-28
Dominican Republic	2021-03-11	2	2021-03-13
Bolivia	2021-03-19	8	2021-03-26
India	2021-03-24	2	2021-03-24
Ecuador	2021-03-31	12	2021-05-12
Singapore	2021-04-04	6	2021-04-29
Thailand	2021-04-05	1	2021-04-05
Poland	2021-04-13	4	2021-04-21
Lithuania	2021-04-13	2	2021-05-06
Austria	2021-04-15	1	2021-04-15
China	2021-04-17	2	2021-04-17
Malta	2021-04-18	27	2021-05-09
Curacao	2021-04-24	2	2021-04-28
Israel	2021-04-28	3	2021-05-05
